VAR_ID,Description,,VAR_FRED_ID
D_NONFIN2140A2P2AMT,"Total Value of Issues, with a Maturity Between 21 and 40 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN2140A2P2AMT
D_NONFIN2140A2P2VOL,"Number of Issues, with a Maturity Between 21 and 40 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN2140A2P2VOL
D_NONFIN2140AAAMT,"Total Value of Issues, with a Maturity Between 21 and 40 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN2140AAAMT
D_NONFIN2140AAVOL,"Number of Issues, with a Maturity Between 21 and 40 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN2140AAVOL
D_NONFIN4180A2P2AMT,"Total Value of Issues, with a Maturity Between 41 and 80 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN4180A2P2AMT
D_NONFIN4180A2P2VOL,"Number of Issues, with a Maturity Between 41 and 80 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN4180A2P2VOL
D_NONFIN4180AAAMT,"Total Value of Issues, with a Maturity Between 41 and 80 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN4180AAAMT
D_NONFIN4180AAVOL,"Number of Issues, with a Maturity Between 41 and 80 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN4180AAVOL
D_NONFIN59A2P2AMT,"Total Value of Issues, with a Maturity Between 5 and 9 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN59A2P2AMT
D_NONFIN59A2P2VOL,"Number of Issues, with a Maturity Between 5 and 9 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN59A2P2VOL
D_NONFIN59AAAMT,"Total Value of Issues, with a Maturity Between 5 and 9 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN59AAAMT
D_NONFIN59AAVOL,"Number of Issues, with a Maturity Between 5 and 9 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN59AAVOL
D_NONFINGT80A2P2AMT,"Total Value of Issues, with a Maturity Greater Than 80 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFINGT80A2P2AMT
D_NONFINGT80A2P2VOL,"Number of Issues, with a Maturity Greater Than 80 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFINGT80A2P2VOL
D_NONFINGT80AAAMT,"Total Value of Issues, with a Maturity Greater Than 80 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFINGT80AAAMT
D_NONFINGT80AAVOL,"Number of Issues, with a Maturity Greater Than 80 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFINGT80AAVOL
D_DJCA,Dow Jones Composite Average,,D_FRED_DJCA
D_DJIA,Dow Jones Industrial Average,,D_FRED_DJIA
D_DJTA,Dow Jones Transportation Average,,D_FRED_DJTA
D_DJUA,Dow Jones Utility Average,,D_FRED_DJUA
D_EVZCLS,CBOE EuroCurrency ETF Volatility Index,,D_FRED_EVZCLS
D_GVZCLS,CBOE Gold ETF Volatility Index,,D_FRED_GVZCLS
D_NASDAQ100,NASDAQ 100 Index,,D_FRED_NASDAQ100
D_NASDAQCOM,NASDAQ Composite Index,,D_FRED_NASDAQCOM
D_OVXCLS,CBOE Crude Oil ETF Volatility Index,,D_FRED_OVXCLS
D_RVXCLS,CBOE Russell 2000 Volatility Index,,D_FRED_RVXCLS
D_SP500,S&P 500,,D_FRED_SP500
D_VIXCLS,CBOE Volatility Index: VIX,,D_FRED_VIXCLS
D_VXAPLCLS,CBOE Equity VIX on Apple,,D_FRED_VXAPLCLS
D_VXAZNCLS,CBOE Equity VIX on Amazon,,D_FRED_VXAZNCLS
D_VXDCLS,CBOE DJIA Volatility Index,,D_FRED_VXDCLS
D_VXEEMCLS,CBOE Emerging Markets ETF Volatility Index,,D_FRED_VXEEMCLS
D_VXEWZCLS,CBOE Brazil ETF Volatility Index,,D_FRED_VXEWZCLS
D_VXGOGCLS,CBOE Equity VIX on Google,,D_FRED_VXGOGCLS
D_VXGSCLS,CBOE Equity VIX on Goldman Sachs,,D_FRED_VXGSCLS
D_VXIBMCLS,CBOE Equity VIX on IBM,,D_FRED_VXIBMCLS
D_VXNCLS,CBOE NASDAQ 100 Volatility Index,,D_FRED_VXNCLS
D_VXVCLS,CBOE S&P 500 3-Month Volatility Index,,D_FRED_VXVCLS
D_WILL2500IND,Wilshire 2500 Total Market Index,,D_FRED_WILL2500IND
D_WILL2500INDGR,Wilshire 2500 Growth Total Market Index,,D_FRED_WILL2500INDGR
D_WILL2500INDVAL,Wilshire 2500 Value Total Market Index,,D_FRED_WILL2500INDVAL
D_WILL2500PR,Wilshire 2500 Price Index,,D_FRED_WILL2500PR
D_WILL2500PRGR,Wilshire 2500 Growth Price Index,,D_FRED_WILL2500PRGR
D_WILL2500PRVAL,Wilshire 2500 Value Price Index,,D_FRED_WILL2500PRVAL
D_WILL4500IND,Wilshire 4500 Total Market Index,,D_FRED_WILL4500IND
D_WILL4500PR,Wilshire 4500 Price Index,,D_FRED_WILL4500PR
D_WILL5000IND,Wilshire 5000 Total Market Index,,D_FRED_WILL5000IND
D_WILL5000PR,Wilshire 5000 Price Index,,D_FRED_WILL5000PR
D_WILLLRGCAP,Wilshire US Large-Cap Total Market Index,,D_FRED_WILLLRGCAP
D_WILLLRGCAPGR,Wilshire US Large-Cap Growth Total Market Index,,D_FRED_WILLLRGCAPGR
D_WILLLRGCAPGRPR,Wilshire US Large-Cap Growth Price Index,,D_FRED_WILLLRGCAPGRPR
D_WILLLRGCAPPR,Wilshire US Large-Cap Price Index,,D_FRED_WILLLRGCAPPR
D_WILLLRGCAPVAL,Wilshire US Large-Cap Value Total Market Index,,D_FRED_WILLLRGCAPVAL
D_WILLLRGCAPVALPR,Wilshire US Large-Cap Value Price Index,,D_FRED_WILLLRGCAPVALPR
D_WILLMICROCAP,Wilshire US Micro-Cap Total Market Index,,D_FRED_WILLMICROCAP
D_WILLMICROCAPPR,Wilshire US Micro-Cap Price Index,,D_FRED_WILLMICROCAPPR
D_WILLMIDCAP,Wilshire US Mid-Cap Total Market Index,,D_FRED_WILLMIDCAP
D_WILLMIDCAPGR,Wilshire US Mid-Cap Growth Total Market Index,,D_FRED_WILLMIDCAPGR
D_WILLMIDCAPGRPR,Wilshire US Mid-Cap Growth Price Index,,D_FRED_WILLMIDCAPGRPR
D_WILLMIDCAPPR,Wilshire US Mid-Cap Price Index,,D_FRED_WILLMIDCAPPR
D_WILLMIDCAPVAL,Wilshire US Mid-Cap Value Total Market Index,,D_FRED_WILLMIDCAPVAL
D_WILLMIDCAPVALPR,Wilshire US Mid-Cap Value Price Index,,D_FRED_WILLMIDCAPVALPR
D_WILLREITIND,Wilshire US Real Estate Investment Trust Total Market Index (WilshireUS REIT),,D_FRED_WILLREITIND
D_WILLREITPR,Wilshire US Real Estate Investment Trust Price Index (Wilshire USREIT),,D_FRED_WILLREITPR
D_WILLRESIND,Wilshire US Real Estate Securities Total Market Index (Wilshire USRESI),,D_FRED_WILLRESIND
D_WILLRESIPR,Wilshire US Real Estate Securities Price Index (Wilshire US RESI),,D_FRED_WILLRESIPR
